,,
,Part 1: Description,
,Hotel name english,CNDP Fatima
,Hotel description english,"Located in Musanze city, just 5 minutes from the bus park,Fatima Pastoral Centre is a guest house designed for the wish of every client. It is located near Musanze stadium and it faces the airport for small aircrafts and helicopters.

CNDP Fatima Bar possess a bar with a variety of drinks. If you want to taste a local beer, do not hesitate as they are liked a lot especially by tourists. There are also international drinks like spirits, wines, liquors and a variety of soft drinks.

If you want to scan a document, fax or print something, do not hesitate to contact CNDP Fatima as their prices are affordable in their business centre.

CNDP Fatima camping site has got enough space that is green and enough weather outside if you want to enjoy the camping. When you bring your camping tent, the charges are affordable and also depending on its size .

With more than two conference halls, CNDP Fatima is ready to offer them in case you want to organize discussions, run workshops or seminars at affordable rates. It has wireless connection.

Located in Musanze city, just 5 minutes from the bus park, Fatima Pastoral Centre is a guest house designed for  the wish of every client. It is located near Musanze stadium and it faces the airport for small aircrafts and helicopters.

With CNDP Fatima restaurant, the kitchen staff has got different food specialities. You can enjoy African as well as European kitchen."
,Hotel name french,CNDP Fatima
,Hotel description french,"Situe dans la ville de Musanze, juste 5 minutes de la gare routiere, Centre Patorale Fatima est un guest house concu pour des souhaits de chaque client. Il est situe tout pres du stade de la  ville et est face a l'aerodrome de Musanze.

Avec le restaurant du CNDP Fatima, le personnel de la cuisine dispose de beaucoup de specialites. Vous pouvez pourrez avoir le plaisir de goutter la cuisine Africaine ainsi celle de l'Europe.

Avec plus de deux salles de conference, CNDP Fatima est pret a vous donner une d'eux au cas ou vouz voulez organiser des debats, discussions, ateliers ou seminaires aux prix abordables. Il Ya le reseau internet Wi-Fi a l'interieur.

Le CNDP Fatima dispose d'assez d'epace verte ainsi qu'assez de climat dehors si vous aimez faire le camping. Lorsque vous amennez votre tente de camping, les frais sont abordables et ca depend aussi du dimension de clui-ci.

Si vous avez besoin d'imprimer, envoyer un fax ou imprimer votre document, n'hesitez pas de contacter CNDP Fatima comme Ils ont des prix abordables dans leur petit business centre.

CNDP Fatima dispose d'un bar avec une variete de boissons. Si vous voulez gouter une bierre locale, n'hesitez pas puisque beaucoup de monde aime ca et surtout des touristes. Il ya des liquers, vins et aussi une vaste variete des boissons non-alcoolisees."
,,
,Part 2: Information,
,Address 1,NEED INFO
,Address 2,
,Location,NEED INFO
,Directions,NEED INFO
,Website1,
,Website2,
,Website3,
,,
,Part 3: Tags,
,Tag::HotelTag::FacilityTag,
,Swimming pool,
,Gym,
,Meeting rooms/banquet hall,x
,Elevator,
,Eco-friendly,
,Handicapped accessible,
,Hot water,
,Bar,x
,Restaurant,x
,Self catering,
,Pet friendly,
,Parking,x
,Camping,x
,Tag::HotelTag::ServiceTag,
,24-hour front desk,x
,Laundry,
,Room service,
,Currency exchange,
,Printing,x
,Baggage storage,
,Tag::HotelTag::InternetTag,
,Wifi available,x
,Tag::HotelTag::LanguageTag,
,Italian,
,French,x
,Spanish,
,English,x
,German,
,Kinyarwanda,x
,Swahili,
,Arabic,
,Portuguese,
,Swedish,
,Dutch,
