,,
,Part 1: Description,
,Room name english,Bunk Rooms
,Room description english,"CNDP Fatima has got 4 bunk rooms with 8 beds in each room for people who want to travel with a limited budget. The bunk room has clean outside toilets and showers, a place for laundry and free space for drying out one's clothes."
,Rooom name french,Chambre avec lits superposes
,Room description french,"CNDP Fatima a 4 chambres avec 8 lits superposes dans chacune pour des personnes qui veulent voyager avec un budget limite. Ces chambres ont des toilettes et des douches prives, un endroit pour la lessive et un autre endroit pour secher des habits."
,,
,Part 2: Information,
,Quantity,32
,Price,0
,Max adults,1
,,
,Part 3: Tags,
,Tag::RoomTag::FacilityTag,
,Personal safe,
,Interior bathroom,
,Hot water,
,Handicapped accessible,
,Air conditioned,
,Heated rooms,
,Television,
,Interior office space,
,Telephone,
,Tag::RoomTag::FoodDrinkTag,
,Breakfast included,
,Refrigerator,
,Minibar,
,Room service,
,Kitchen in room,
,Barbeque/brai access,
,Tag::RoomTag::ViewTag,
,Terrace,
,Street view,
,Beach view,
,Nature view,
,City view,
,Tag::RoomTag::InternetTag,
,Free wifi,
,Paid wifi,
,No wifi,x
