,,
,Part 1: Description,
,Room name english,Executive Room
,Room description english,
,Rooom name french,Chambre Double
,Room description french,
,,
,Part 2: Information,
,Quantity,0
,Price,70
,Max adults,2
,,
,Part 3: Tags,
,Tag::RoomTag::FacilityTag,
,Personal safe,
,Interior bathroom,x
,Hot water,x
,Handicapped accessible,
,Air conditioned,
,Heated rooms,
,Television,x
,Interior office space,x
,Telephone,
,Tag::RoomTag::FoodDrinkTag,
,Breakfast included,x
,Refrigerator,
,Minibar,
,Room service,
,Kitchen in room,
,Barbeque/brai access,
,Tag::RoomTag::ViewTag,
,Terrace,
,Street view,
,Beach view,
,Nature view,
,City view,
,Tag::RoomTag::InternetTag,
,Free wifi,x
,Paid wifi,
,No wifi,
