,,
,Part 1: Description,
,Hotel name english,Home Inn Hotel
,Hotel description english,"Are you visiting the Northern province, for business or simple enjoyment of its natural wonders? Here is a place where you are likely to extend the length of your stay.

To the corporates, Home Inn offers a comprehensive range for conducting trainings&conferences. In fact, we offer the best facilities available in Musanze District(Ruhengeri).Home Inn has the capacity to accomodate 40 people.

Home Inn is located 10 Km from the volcanoes park, where the famous mountain gorillas live. It is only 20 minutes drive from the park. 13 Km from Kigali International Airport, 25 Km from Uganda border (Cyanika), 60 Km from Goma (DRC)."
,Hotel name french,
,Hotel description french,"Venez-vous visiter la Province du Nord pour des affaires ou tout simplement pour le plaisir de ses merveilles? C'est ici que vous avez tendance a etendre la duree de votre sejour. Pour des entreprises ou des institutions, Home Inn offre une multitude de services pour vous faciliter la tache en ce qui concerne l'organisation des formations&conferences. Nous offrons les meilleurs infrastructures pour differents services au District de Musanze (Ruhengeri).

L'Hotel Home Inn est situe a 10 Km du Parc des Volcans, ou des fameuses gorilles de montagne restent. Il est seulement a 20 minutes du parc en voiture. 13 Km de l'Aeroport International de Kigali, 25 Km de la frontiere de l'Ouganda(Cyanika), 60 Km de Goma(RDC)."
,,
,Part 2: Information,
,Address 1,P.O Box 117
,Address 2,
,Location,NEED THIS
,Directions,NEED THIS
,Website1,www.homeinnhotel.com
,Website2,
,Website3,
,,
,Part 3: Tags,
,Tag::HotelTag::FacilityTag,
,Swimming pool,
,Gym,
,Meeting rooms/banquet hall,x
,Elevator,
,Eco-friendly,
,Handicapped accessible,
,Hot water,
,Bar,x
,Restaurant,x
,Self catering,
,Pet friendly,
,Parking,
,Camping,
,Tag::HotelTag::ServiceTag,
,24-hour front desk,
,Laundry,x
,Room service,x
,Currency exchange,
,Printing,x
,Baggage storage,
,Tag::HotelTag::InternetTag,
,Wifi available,x
,Tag::HotelTag::LanguageTag,
,Italian,
,French,x
,Spanish,x
,English,
,German,
,Kinyarwanda,x
,Swahili,x
,Arabic,
,Portuguese,
,Swedish,
,Dutch,
