,,
,Part 1: Description,
,Hotel name english,Snow Hotel
,Hotel description english,"Snow Hotel is a new hotel with a spacious restaurant, kitchen, bar, rooms and conference hall that fits the needs of everyone in Musanze town and anyone that wishes to travel and taste on their services. Located at the entrance of Musanze town, right near the former area known as tete a gauche(former area that used to host Belgian colonialists during the colonial period), it's an area that has also thermal water if you wish to take a walk. When walking, it only takes 15 minutes to get to that place of the thermal water with a Belgian explorer's background written on a piece of stone behind it.Snow Hotel is located at the right side of the main entrance of Musanze town near Kobil petrol station.

We offer: European,oriental as well as african cuisine."
,Hotel name french,Snow Hotel
,Hotel description french,"Snow Hotel est un hotel avec un restaurant, bar, cuisine, bar, chambres ainsi qu'une salle de conference avec assez d'espace pour satisfaire les besoins de chacun dans la ville de Musanze et aussi chacun qui veut faire un voyage et venir gouter a nos services. Situe a l'entree du celebre quartier communement appelle Tete a gauche(le quartier ancien qui abritait des colons Belges pendant la periode coloniale), c'est un quartier qui a aussi l'eau thermique connu sous le nom local ""Amashyuza ou Amakera"" si vous voulez faire un tour et voir. Losqu'on se promene a pieds, ca prends seulement 15 minutes pour arriver a cette place de l'eau thermique avec une petite historique d'un explorateur Belge de cet eau thermique ecrite sur une petite pierre derriere. L'hotel Snow se trouve au cote droite juste a l'entree de la ville de Musanze tout pres de la station d'essence Kobil.

Nous offrons: Une cuisine europeenne, asiatique ainsi que celle d'Afrique."
,,
,Part 2: Information,
,Address 1,NEED INFO
,Address 2,
,Location,NEED INFO
,Directions,NEED INFO
,Website1,
,Website2,
,Website3,
,,
,Part 3: Tags,
,Tag::HotelTag::FacilityTag,
,Swimming pool,
,Gym,
,Meeting rooms/banquet hall,x
,Elevator,
,Eco-friendly,
,Handicapped accessible,
,Hot water,
,Bar,x
,Restaurant,x
,Self catering,
,Pet friendly,
,Parking,x
,Tag::HotelTag::ServiceTag,
,24-hour front desk,x
,Laundry,x
,Room service,
,Currency exchange,
,Printing,
,Baggage storage,
,Tag::HotelTag::InternetTag,
,Wifi available,x
,Tag::HotelTag::LanguageTag,
,Italian,
,French,x
,Spanish,
,English,
,German,
,Kinyarwanda,x
,Swahili,
,Arabic,
,Portuguese,
,Swedish,
,Dutch,
