,,
,Part 1: Description,
,Room name english,Double Room
,Room description english,All of these rooms offer an enjoyable view of Musanze hills and a view of the volcanoes as they are in the heart of the city.
,Rooom name french,Chambre Double
,Room description french,Toutes ces chambres offrent une vue panoramique des collines de Musanze comme l'hotelse situe au coeur de la ville juste a l'entree.
,,
,Part 2: Information,
,Quantity,0
,Price,80
,Max adults,0
,,
,Part 3: Tags,
,+Tag::RoomTag::FacilityTag,
,Personal safe,
,Interior bathroom,x
,Hot water,
,Handicapped accessible,
,Air conditioned,
,Heated rooms,
,Television,x
,Interior office space,x
,Telephone,x
,+Tag::RoomTag::FoodDrinkTag,
,Breakfast included,x
,Refrigerator,x
,Minibar,x
,Room service,
,Kitchen in room,
,Barbeque/brai access,
,+Tag::RoomTag::ViewTag,
,Terrace,
,Street view,
,Beach view,
,Nature view,x
,City view,
,+Tag::RoomTag::InternetTag,
,Free wifi,x
,Paid wifi,
,No wifi,
