,,
,*Part 1: Description,
,Room name english,Twin room
,Room description english,"These rooms are all well furnished for the satisfaction of the client. They are all built in way that they all look at the outside view of Musanze town. Wherever you are located, you have a space where you can open your window and enjoy the morning sunshine and a view of all the green places of the city."
,Rooom name french,
,Room description french,"Ces chambres sont bien equipees pour la satisfaction du client. Elles sont construites de facon a voir une  vue de l'exterieur de la ville de Musanze. N'importe ou que tu sois dans la chambre, tu as un espace ou tu pourra ouvrie ta fenetre et avoir le plaisir de contempler le lever du soleil aisni qu'une vue des espaces verstes de la ville."
,,
,**Part 2: Information,
,Quantity,5
,Price,70
,Max adults,0
,,
,***Part 3: Tags,
,+Tag::RoomTag::FacilityTag,
,Personal safe,
,Interior bathroom,x
,Hot water,
,Handicapped accessible,
,Air conditioned,
,Heated rooms,
,Television,x
,Interior office space,x
,Telephone,x
,+Tag::RoomTag::FoodDrinkTag,
,Breakfast included,x
,Refrigerator,
,Minibar,
,Room service,
,Kitchen in room,
,Barbeque/brai access,
,+Tag::RoomTag::ViewTag,
,Terrace,
,Street view,
,Beach view,
,Nature view,x
,City view,
,+Tag::RoomTag::InternetTag,
,Free wifi,x
,Paid wifi,
,No wifi,
